Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
66,110,79,3,1,83.54,3,caught,1,v England,Pune
7,14,10,1,0,70,3,bowled,1,v England,Pune
51,79,63,3,0,80.95,3,caught,2,v South Africa,Paarl
0,4,5,0,0,0,3,caught,1,v South Africa,Paarl
65,112,84,5,0,77.38,3,caught,2,v South Africa,Cape Town
8,6,4,2,0,200,3,caught,2,v West Indies,Ahmedabad
18,42,30,3,0,60,3,caught,1,v West Indies,Ahmedabad
0,2,2,0,0,0,3,caught,1,v West Indies,Ahmedabad
16,39,25,3,0,64,3,caught,2,v England,Lord's
17,27,22,3,0,77.27,3,caught,2,v England,Manchester
9,22,15,1,0,60,3,caught,1,v Bangladesh,Mirpur
5,9,6,1,0,83.33,1,bowled,2,v Bangladesh,Mirpur
113,174,91,11,2,124.17,3,caught,1,v Bangladesh,Chattogram
113,117,87,12,1,129.88,3,caught,1,v Sri Lanka,Guwahati
4,27,9,1,0,44.44,3,bowled,2,v Sri Lanka,Eden Gardens
166,173,110,13,8,150.9,3,not out,1,v Sri Lanka,Thiruvananthapuram
8,16,10,1,0,80,3,bowled,1,v New Zealand,Hyderabad
11,19,9,2,0,122.22,3,stumped,2,v New Zealand,Raipur
36,44,27,3,1,133.33,3,caught,1,v New Zealand,Indore
4,15,9,1,0,44.44,3,lbw,2,v Australia,Wankhede
31,79,35,4,0,88.57,3,lbw,1,v Australia,Visakhapatnam
54,118,72,2,1,75,3,caught,2,v Australia,Chennai
4,8,7,1,0,57.14,3,bowled,1,v Pakistan,Pallekele
122,147,94,9,3,129.78,3,not out,1,v Pakistan,Colombo (RPS)
3,12,12,0,0,25,3,caught,1,v Sri Lanka,Colombo (RPS)
56,63,61,5,1,91.8,3,caught,2,v Australia,Rajkot
85,171,116,6,0,73.27,3,caught,2,v Australia,Chennai
55,64,56,6,0,98.21,3,not out,2,v Afghanistan,Delhi
16,31,18,3,0,88.88,3,caught,2,v Pakistan,Ahmedabad
103,113,97,6,4,106.18,3,not out,2,v Bangladesh,Pune
95,154,104,8,2,91.34,3,caught,2,v New Zealand,Dharamsala
0,12,9,0,0,0,3,caught,1,v England,Lucknow
88,139,94,11,0,93.61,3,caught,1,v Sri Lanka,Wankhede
101,195,121,10,0,83.47,3,not out,1,v South Africa,Eden Gardens
